subj,subj_type,subj_span,obj,obj_type,obj_span,relation
I got into the Texas War on Drugs program and the big-time drug dealers got all upset,Premise,"((23233, 23318),)","Again and again, on complex, difficult tasks, I have stayed the course",Claim,"((22860, 22930),)",Support
"when I had 2 people imprisoned in Iran, I could have left them there. I could have rationalized it. We went over, we got them out, we brought them back home",Premise,"((23325, 23481),)","Again and again, on complex, difficult tasks, I have stayed the course",Claim,"((22860, 22930),)",Support
"I have lived with the burden of the Middle East, where it's eye for an eye and tooth for a tooth country, in terms of their unhappiness with the fact that I was successful in that effort",Premise,"((23510, 23696),)","Again and again, on complex, difficult tasks, I have stayed the course",Claim,"((22860, 22930),)",Support
"Again and again and again, in the middle of the night, at 2 or 3 o'clock in the morning, my government has called me to take extraordinary steps for Americans in distress, and again and again and again I have responded. And I didn't wilt and I didn't qui",Premise,"((23699, 23953),)","Again and again, on complex, difficult tasks, I have stayed the course",Claim,"((22860, 22930),)",Support
"when you asked me to come back in, I came back in",Premise,"((24209, 24258),)",I never quit supporting you as you put me on the ballot in the other 26 states,Claim,"((24125, 24203),)",Support
"I'm spending my money on this campaign; the 2 parties are spending your money, taxpayer money",Premise,"((24289, 24382),)",I put my wallet on the table for you and your children,Claim,"((24384, 24438),)",Support
I put my wallet on the table for you and your children,Claim,"((24384, 24438),)",I've lived the American dream; I'd like for your children to be able to live it,Claim,"((24626, 24705),)",Support
I never quit supporting you as you put me on the ballot in the other 26 states,Claim,"((24125, 24203),)",I've lived the American dream; I'd like for your children to be able to live it,Claim,"((24626, 24705),)",Support
They both said they were Vietnam veterans supporting me because I had an economic program to put them back to work,Premise,"((25504, 25618),)",We need an investment incentive to modernize plant and equipment,Claim,"((25620, 25684),)",Support
otherwise we can't keep the manufacturing jobs here,Claim,"((25749, 25800),)",we've got to control the health care costs for those people,Claim,"((25686, 25745),)",Support
"We did it in my state, and we can do it nationally",Premise,"((26303, 26353),)",I know that we can grow manufacturing jobs,Claim,"((26259, 26301),)",Support
That would break the auto industry and throw a lot of people out of work,Claim,"((26637, 26709),)","when Governor Clinton was talking to the auto workers, whether he talked about his and Senator Gore's favoring CAFE standards, fuel efficiency standards, of 40 miles per gallon",Premise,"((26459, 26635),)",Attack
you can't have it both ways,Claim,"((27204, 27231),)",one mistake he's made is fuel efficiency standards at 40 to 45 miles a gallon will throw many auto workers out of work,Claim,"((27080, 27198),)",Attack
There's a pattern here of appealing to the auto workers and then trying to appeal to the spotted owl crowds or the extremes in the environmental movement,Premise,"((27233, 27386),)",you can't have it both ways,Claim,"((27204, 27231),)",Support
You can't do it as president,Claim,"((27388, 27416),)",you can't have it both ways,Claim,"((27204, 27231),)",Equivalent
you can't have a pattern of one side of the issue one day and another the next,Claim,"((27418, 27496),)",You can't do it as president,Claim,"((27388, 27416),)",Equivalent
I have never said we should write it into law if there is evidence that that goal cannot be achieved,Premise,"((28045, 28145),)",one mistake he's made is fuel efficiency standards at 40 to 45 miles a gallon will throw many auto workers out of work,Claim,"((27080, 27198),)",Attack
The Natl Science Foundation did a study which said it would be difficult for us to reach fuel efficiency standards in excess of 37 miles per gallon by the year 2000,Premise,"((28147, 28311),)",I think we should try to raise the fuel efficiency,Claim,"((28313, 28363),)",Support
"I never said -- and I defy you to find where I said -- I gave an extensive environmental speech in April, and I said that we ought to have a goal of raising the fuel efficiency standards to 40 miles a gallon",Premise,"((27805, 28012),)",I think we should try to raise the fuel efficiency,Claim,"((28313, 28363),)",Support
I think we ought to have incentives to do it,Claim,"((28386, 28430),)",I think we should try to raise the fuel efficiency,Claim,"((28313, 28363),)",Support
I think we ought to push to do it,Claim,"((28432, 28465),)",I think we should try to raise the fuel efficiency,Claim,"((28313, 28363),)",Support
That doesn't mean we have to write it into the law,Claim,"((28467, 28517),)",I think we should try to raise the fuel efficiency,Claim,"((28313, 28363),)",Support
I think we should try to raise the fuel efficiency,Claim,"((28313, 28363),)",one mistake he's made is fuel efficiency standards at 40 to 45 miles a gallon will throw many auto workers out of work,Claim,"((27080, 27198),)",Attack
It is the Bush administration that has had no new jobs in the private sector in the last 4 years,Premise,"((28567, 28663),)","I am a job creator, not a job destroyer",Claim,"((28526, 28565),)",Support
it is good for America to improve fuel efficiency,Claim,"((28739, 28788),)",I think we should try to raise the fuel efficiency,Claim,"((28313, 28363),)",Support
"In my state, we're leading the country in private sector job growth",Premise,"((28665, 28732),)","I am a job creator, not a job destroyer",Claim,"((28526, 28565),)",Support
That's another way to improve the environment,Premise,"((28856, 28901),)",We also ought to convert more vehicles to compressed natural gas,Claim,"((28790, 28854),)",Support
We also ought to convert more vehicles to compressed natural gas,Claim,"((28790, 28854),)",I think we should try to raise the fuel efficiency,Claim,"((28313, 28363),)",Support
I got a long history of doing that,Premise,"((29902, 29936),)",I do understand business. I do understand creating jobs. I do understand how to make things work,Claim,"((29800, 29896),)",Support
"You implement that NAFTA, the Mexican trade agreement",Claim,"((29312, 29365),)","the core problem that faces everybody in manufacturing in this country, it's that agreement that's about to be put into practice",Claim,"((29965, 30093),)",Support
"where they pay people a dollar an hour, have no health care, no retirement, no pollution controls, et cetera, et cetera, et cetera",Premise,"((29367, 29497),)","the core problem that faces everybody in manufacturing in this country, it's that agreement that's about to be put into practice",Claim,"((29965, 30093),)",Support
you're going to hear a giant sucking sound of jobs being pulled out of this country,Premise,"((29503, 29586),)","the core problem that faces everybody in manufacturing in this country, it's that agreement that's about to be put into practice",Claim,"((29965, 30093),)",Support
we need the tax base to pay the debt and pay down the interest on the debt and get our house back in order,Premise,"((29608, 29714),)","the core problem that faces everybody in manufacturing in this country, it's that agreement that's about to be put into practice",Claim,"((29965, 30093),)",Support
I do understand business. I do understand creating jobs. I do understand how to make things work,Claim,"((29800, 29896),)","the core problem that faces everybody in manufacturing in this country, it's that agreement that's about to be put into practice",Claim,"((29965, 30093),)",Support
"Yes, it'll create bubble jobs",Claim,"((30147, 30176),)",Everybody says it'll create jobs,Claim,"((30113, 30145),)",Attack
"Yes, it'll create bubble jobs",Claim,"((30147, 30176),)","the core problem that faces everybody in manufacturing in this country, it's that agreement that's about to be put into practice",Claim,"((29965, 30093),)",Support
"I finally -- I thought I didn't understand it -- called all the experts, and they said, oh, it'll be disruptive for 12 to 15 years",Premise,"((30387, 30517),)","the core problem that faces everybody in manufacturing in this country, it's that agreement that's about to be put into practice",Claim,"((29965, 30093),)",Support
"One-time surge while we build factories and ship machine tools and equipment down there. Then year after year for decades, they will have jobs",Claim,"((30239, 30381),)","Yes, it'll create bubble jobs",Claim,"((30147, 30176),)",Support
I have studied these trade agreements till the world has gone flat,Premise,"((30840, 30906),)",we don't have good trade agreements across the world,Claim,"((30912, 30964),)",Support
